name,fm./loc.,slat,slon,n,dec,inc,k,alpha95,f_corr,VGP_lat,VGP_lon,K,A95,dp,dm,mean_age,min_age,2sig_min,max_age,2sig_max,uncer_dist,rock_typ_1,rock_typ_2,rock_typ_3,geologic_classes,geologic_types,lithologies,demag,struc_cont,rot_area,polarity,strat_group,ordering,synch_unit,in_study_pole,rej_crit,pmag_ref,age_ref,pmag_comments,age_comments,citations,Study,VGP_lon_recalc,VGP_lat_recalc,inc_reverse,dec_reverse,vgp_lat_SH,vgp_lon_SH,age_uncertainty
TL9,Tequila volcanic field,20.899833333333333,-103.7285,1,342.3,9.2,,,,66.6,126.2,,,,,0.592,0.5519999999999999,,0.632,,normal,igneous,volcanic,basalt,Igneous:Extrusive,Lava,Basalt,AF-TH,1,0,N,0,,0,0,[2],Ceja et al. (2006),Ceja et al. (2006),,,10.1186/BF03352641,Tequila_volcanic_field,125.28203000709378,66.32994752735728,-9.2,162.3,-66.32994752735728,305.2820300070938,0.08000000000000007
TM5,Tequila volcanic field,20.91267,-103.891,7,339.7,24.3,84.0,9.4,,69.1,147.6,,,,,0.604,0.598,,0.61,,normal,igneous,volcanic,rhyolite,Igneous:Extrusive,Lava,Rhyolite,AF-TH,1,0,N,0,,0,1,[],Ceja et al. (2006),Ceja et al. (2006),,,10.1186/BF03352642,Tequila_volcanic_field,146.45783522214234,68.93983668233331,-24.3,159.7,-68.93983668233331,326.4578352221423,0.01200000000000001
TM8,Tequila volcanic field,20.78333,-103.008,6,356.5,26.9,79.0,7.6,,82.9,104.7,,,,,0.619,0.603,,0.635,,normal,igneous,volcanic,dacite,Igneous:Extrusive,Lava,Dacite,AF-TH,1,0,N,0,,0,1,[],Ceja et al. (2006),Ceja et al. (2006),,,10.1186/BF03352643,Tequila_volcanic_field,104.5437756433104,82.64995994972212,-26.9,176.5,-82.64995994972212,284.54377564331037,0.03200000000000003
TL3,Tequila volcanic field,20.85433,-103.864,7,356.7,17.5,82.0,9.5,,78.0,92.4,,,,,0.622,0.616,,0.628,,normal,igneous,volcanic,rhyolite,Igneous:Extrusive,Lava,Rhyolite,AF-TH,1,0,N,0,,0,1,[],Ceja et al. (2006),Ceja et al. (2006),,,10.1186/BF03352644,Tequila_volcanic_field,91.59967348555666,77.6863565546033,-17.5,176.7,-77.6863565546033,271.59967348555665,0.01200000000000001
TL12,Tequila volcanic field,20.8635,-103.978,4,342.6,20.5,33.0,14.2,,70.5,138.3,,,,,0.632,0.616,,0.648,,normal,igneous,volcanic,rhyolite,Igneous:Extrusive,Lava,Rhyolite,AF-TH,1,0,N,0,,0,1,[],Ceja et al. (2006),Ceja et al. (2006),,,10.1186/BF03352645,Tequila_volcanic_field,137.11001650206663,70.37870378516843,-20.5,162.60000000000002,-70.37870378516843,317.1100165020666,0.03200000000000003
TL4,Tequila volcanic field,20.89033,-103.943,5,1.6,26.8,53.0,11.5,,83.5,62.7,,,,,0.642,0.63,,0.654,,normal,igneous,volcanic,rhyolite,Igneous:Extrusive,Lava,Rhyolite,AF-TH,1,0,N,0,,0,1,[],Ceja et al. (2006),Ceja et al. (2006),,,10.1186/BF03352646,Tequila_volcanic_field,63.00842051141356,83.11345020467475,-26.8,181.6,-83.11345020467475,243.00842051141356,0.02400000000000002
TL10,Tequila volcanic field,20.898,-103.73633333333333,8,164.1,21.4,107.0,6.4,,-54.7,284.3,,,,,0.671,0.645,,0.6970000000000001,,normal,igneous,volcanic,basalt,Igneous:Extrusive,Lava,Basalt,AF-TH,1,0,I,0,,0,0,[9],Ceja et al. (2006),Ceja et al. (2006),,,10.1186/BF03352647,Tequila_volcanic_field,283.7705642485288,-54.40153467319962,-21.4,344.1,-54.40153467319962,283.7705642485288,0.052000000000000046
TL7,Tequila volcanic field,20.79467,-103.707,6,344.1,39.4,52.0,8.7,,75.1,176.7,,,,,0.691,0.6389999999999999,,0.743,,normal,igneous,volcanic,andesite,Igneous:Extrusive,Lava,Andesite,AF-TH,1,0,N,0,,0,1,[],Ceja et al. (2006),Ceja et al. (2006),,,10.1186/BF03352648,Tequila_volcanic_field,175.11388778908469,75.1403754853877,-39.4,164.10000000000002,-75.1403754853877,355.1138877890847,0.10400000000000009
TL11,Tequila volcanic field,20.8475,-103.758,8,208.6,-28.2,122.0,8.3,,-62.2,173.3,,,,,0.949,0.813,,1.085,,normal,igneous,volcanic,basalt,Igneous:Extrusive,Lava,Basalt,AF-TH,1,0,R,0,,0,1,[],Ceja et al. (2006),Ceja et al. (2006),,,10.1186/BF03352649,Tequila_volcanic_field,173.61156210860338,-62.21112606843267,-28.2,208.6,-62.21112606843267,173.61156210860338,0.272
TM4,Tequila volcanic field,20.91333,-103.975,5,207.7,-45.7,65.0,10.6,,-63.9,146.4,,,,,1.121,0.823,,1.419,,normal,igneous,volcanic,rhyolite,Igneous:Extrusive,Lava,Rhyolite,AF-TH,1,0,R,0,,0,1,[],Ceja et al. (2006),Ceja et al. (2006),,,10.1186/BF03352650,Tequila_volcanic_field,146.7487670512046,-64.0064013100825,-45.7,207.7,-64.0064013100825,146.7487670512046,0.5960000000000001
TM7,Tequila volcanic field,20.82667,-104.043,4,178.6,-16.9,80.0,13.8,,-78.1,262.7,,,,,1.13,0.8119999999999998,,1.448,,normal,igneous,volcanic,basaltic andesite,Igneous:Extrusive,Lava,Basaltic Andesite,AF-TH,1,0,R,0,,0,1,[],Ceja et al. (2006),Ceja et al. (2006),,,10.1186/BF03352651,Tequila_volcanic_field,262.48683630287655,-77.736552370695,-16.9,178.6,-77.736552370695,262.48683630287655,0.6360000000000001
58,Coso Range rhyolite dome,36.0504507617625,-117.845637842714,7,184.6,-42.5,214.0,4.1,,-77.9,221.8,,,,,1.04,1.0,,1.08,,normal,igneous,volcanic,rhyolite,Igneous:Extrusive,Lava,Rhyolite,NRM,1,0,R,0,,0,0,[1],Mankinen and Gromme (1982),Mankinen and Gromme (1982),only NRM reported,,10.1029/GL009i011p01279,Coso_Range_volcanics,221.79999999897797,-77.90000000059068,-42.5,184.6,-77.90000000059068,221.79999999897797,0.08000000000000007
35,Coso Range basalt,35.9,-117.3,8,7.4,54.7,347.0,3.0,,83.9,336.9,,,,,1.07,0.79,,1.35,,normal,igneous,volcanic,basalt,Igneous:Extrusive,Lava,Basalt,NRM,1,0,N,0,,0,0,[1],Mankinen and Gromme (1982),Mankinen and Gromme (1982),only NRM reported,,10.1029/GL009i011p01280,Coso_Range_volcanics,336.8995493103893,83.9445685097883,-54.7,187.4,-83.9445685097883,156.89954931038932,0.56
32,Coso Range basalt,35.9029698869511,-117.664527627671,8,358.8,53.5,94.0,5.7,,87.9,90.6,,,,,1.07,0.8300000000000001,,1.31,,normal,igneous,volcanic,basalt,Igneous:Extrusive,Lava,Basalt,BL-AF,1,0,N,0,,0,1,[],Mankinen and Gromme (1982),Mankinen and Gromme (1982),,,10.1029/GL009i011p01281,Coso_Range_volcanics,90.60000000524597,87.90000000035775,-53.5,178.8,-87.90000000035775,270.600000005246,0.48
33,Coso Range basalt,35.9859433564612,-117.893496569538,8,177.1,-11.1,40.0,8.9,,-59.5,247.8,,,,,1.08,0.9600000000000001,,1.2000000000000002,,normal,igneous,volcanic,basalt,Igneous:Extrusive,Lava,Basalt,BL-AF,1,0,R,0,,0,1,[],Mankinen and Gromme (1982),Mankinen and Gromme (1982),,,10.1029/GL009i011p01282,Coso_Range_volcanics,247.80000000000052,-59.50000000000008,-11.1,177.1,-59.50000000000008,247.80000000000052,0.2400000000000001
VE18,W of Poza Rica,20.595,-97.475,8,174.8,-29.8,287.0,3.1,,-83.3,310.5,,,,,1.53,1.5,,1.56,,normal,igneous,volcanic,mafic lavas,Igneous:Extrusive,Lava,Basalt,AF-TH,1,0,R,0,,0,1,[],Goguitchaichvili et al. (2007),Goguitchaichvili et al. (2007),corrected VGP longitude,,10.1186/BF03352740,Eastern_Alkaline_Province,310.2973668132194,-83.2424785495965,-29.8,174.8,-83.2424785495965,310.2973668132194,0.06000000000000005
VE19,Plateau 'La Mesa',20.508,-97.556,7,179.1,-17.6,87.0,11.3,,-78.5,281.5,,,,,1.62,1.57,,1.6700000000000002,,normal,igneous,volcanic,mafic lavas,Igneous:Extrusive,Lava,Basalt,AF-TH,1,0,R,0,,0,1,[],Goguitchaichvili et al. (2007),Goguitchaichvili et al. (2007),,,10.1186/BF03352741,Eastern_Alkaline_Province,266.8960722782742,-78.47180609419749,-17.6,179.1,-78.47180609419749,266.8960722782742,0.10000000000000009
VE10,Alto Lucero-Enriquez,19.66,-96.739,8,349.2,24.3,621.0,2.5,,77.5,141.1,,,,,1.9699999999999998,1.93,,2.01,,normal,igneous,volcanic,mafic lavas,Igneous:Extrusive,Lava,Basalt,AF-TH,1,0,N,0,,0,1,[],Goguitchaichvili et al. (2007),Goguitchaichvili et al. (2007),,,10.1186/BF03352742,Eastern_Alkaline_Province,141.08724786370843,77.52920499455381,-24.3,169.2,-77.52920499455381,321.0872478637084,0.07999999999999985
VE13,Alto de Tio Diego,19.62,-96.758,7,357.7,22.2,86.0,6.4,,81.6,98.9,,,,,2.04,2.0,,2.08,,normal,igneous,volcanic,mafic lavas,Igneous:Extrusive,Lava,Basalt,AF-TH,1,0,N,0,,0,1,[],Goguitchaichvili et al. (2007),Goguitchaichvili et al. (2007),,,10.1186/BF03352743,Eastern_Alkaline_Province,98.88604286799496,81.61529203927846,-22.2,177.7,-81.61529203927846,278.88604286799495,0.08000000000000007
VE12,Mafafas-Tepetlan,19.667,-96.772,8,183.6,-21.4,295.0,3.6,,-80.7,240.7,,,,,3.18,3.12,,3.24,,normal,igneous,volcanic,mafic lavas,Igneous:Extrusive,Lava,Basalt,AF-TH,1,0,R,0,,0,1,[],Goguitchaichvili et al. (2007),Goguitchaichvili et al. (2007),,,10.1186/BF03352744,Eastern_Alkaline_Province,240.69882871005908,-80.74551533281513,-21.4,183.6,-80.74551533281513,240.69882871005908,0.1200000000000001
VE09,El Madrono,19.7,-96.674,8,53.3,75.6,281.0,3.2,,33.8,289.5,,,,,3.22,3.16,,3.2800000000000002,,normal,igneous,volcanic,mafic lavas,Igneous:Extrusive,Lava,Basalt,AF-TH,1,0,I,0,,0,0,[9],Goguitchaichvili et al. (2007),Goguitchaichvili et al. (2007),,,10.1186/BF03352745,Eastern_Alkaline_Province,289.4910383893307,33.8408646683708,-75.6,233.3,-33.8408646683708,109.4910383893307,0.1200000000000001
VE11,Mafafas-Tepetlan,19.668,-96.775,8,338.1,35.4,159.0,4.3,,69.4,176.5,,,,,3.25,3.19,,3.31,,normal,igneous,volcanic,mafic lavas,Igneous:Extrusive,Lava,Basalt,AF-TH,1,0,N,0,,0,1,[],Goguitchaichvili et al. (2007),Goguitchaichvili et al. (2007),corrected VGP latitude,,10.1186/BF03352746,Eastern_Alkaline_Province,176.64951431724373,69.38491290698299,-35.4,158.10000000000002,-69.38491290698299,356.64951431724376,0.1200000000000001
VE14,Paz de Enriquez,19.843,-96.816,8,238.2,-31.6,284.0,3.2,,-34.9,165.8,,,,,3.38,3.32,,3.44,,normal,igneous,volcanic,mafic lavas,Igneous:Extrusive,Lava,Basalt,AF-TH,1,0,I,0,,0,0,[9],Goguitchaichvili et al. (2007),Goguitchaichvili et al. (2007),,,10.1186/BF03352747,Eastern_Alkaline_Province,165.77837599886314,-34.9988817723354,-31.6,238.2,-34.9988817723354,165.77837599886314,0.1200000000000001
VE16,Rio Vado,19.766,-96.559,7,203.7,-36.1,392.0,3.1,,-67.7,168.7,,,,,3.5,3.43,,3.57,,normal,igneous,volcanic,mafic lavas,Igneous:Extrusive,Lava,Basalt,AF-TH,1,0,R,0,,0,1,[],Goguitchaichvili et al. (2007),Goguitchaichvili et al. (2007),,,10.1186/BF03352748,Eastern_Alkaline_Province,168.68156782164743,-67.73216296090577,-36.1,203.7,-67.73216296090577,168.68156782164743,0.13999999999999968
VE17,El Vencedor,19.934,-96.664,7,175.8,-14.6,893.0,2.2,,,,,,,,4.03,3.9600000000000004,,4.1000000000000005,,normal,igneous,volcanic,mafic lavas,Igneous:Extrusive,Lava,Basalt,AF-TH,1,0,R,0,,0,1,[],Goguitchaichvili et al. (2007),Goguitchaichvili et al. (2007),removed inconsistent VGP,,10.1186/BF03352749,Eastern_Alkaline_Province,281.9390291493529,-76.84081095214819,-14.6,175.8,-76.84081095214819,281.9390291493529,0.14000000000000012
VE05,Plateau Zihuapiltepetl,21.075,-98.538,9,184.6,-45.3,65.0,9.7,,-82.9,116.9,,,,,5.72,5.59,,5.85,,normal,igneous,volcanic,mafic lavas,Igneous:Extrusive,Lava,Basalt,AF-TH,1,0,R,0,,0,1,[],Goguitchaichvili et al. (2007),Goguitchaichvili et al. (2007),,,10.1186/BF03352750,Eastern_Alkaline_Province,116.8178130530894,-82.8941658329271,-45.3,184.6,-82.8941658329271,116.8178130530894,0.2599999999999998
VE03,Sierra Tantima,21.324,-97.833,4,181.4,-43.5,288.0,4.1,,-85.7,99.4,,,,,6.57,6.45,,6.69,,normal,igneous,volcanic,mafic lavas,Igneous:Extrusive,Lava,Basalt,AF-TH,1,0,R,0,,0,1,[],Goguitchaichvili et al. (2007),Goguitchaichvili et al. (2007),,,10.1186/BF03352751,Eastern_Alkaline_Province,99.46220268953576,-85.74200203506074,-43.5,181.4,-85.74200203506074,99.46220268953576,0.2400000000000002
VE02,Tierra Blanca,21.154,-97.92,7,9.6,49.3,12.0,19.6,,77.5,304.3,,,,,6.74,6.6000000000000005,,6.88,,normal,igneous,volcanic,mafic lavas,Igneous:Extrusive,Lava,Basalt,AF-TH,1,0,N,0,,0,1,[],Goguitchaichvili et al. (2007),Goguitchaichvili et al. (2007),,,10.1186/BF03352752,Eastern_Alkaline_Province,303.91224611355034,77.51551177053678,-49.3,189.6,-77.51551177053678,123.91224611355034,0.27999999999999936
VE04,Sierra Tantima,21.324,-97.833,8,189.2,-55.2,28.0,14.4,,-73.5,109.4,,,,,6.75,6.66,,6.84,,normal,igneous,volcanic,mafic lavas,Igneous:Extrusive,Lava,Basalt,AF-TH,1,0,R,0,,0,1,[],Goguitchaichvili et al. (2007),Goguitchaichvili et al. (2007),,,10.1186/BF03352753,Eastern_Alkaline_Province,109.35983963600444,-73.50073457330137,-55.2,189.2,-73.50073457330137,109.35983963600444,0.17999999999999972
VE07,La Esperanza,19.777,-96.658,7,358.9,22.7,141.0,5.9,,81.9,91.0,,,,,6.93,6.77,,7.09,,normal,igneous,volcanic,mafic lavas,Igneous:Extrusive,Lava,Basalt,AF-TH,1,0,N,0,,0,1,[],Goguitchaichvili et al. (2007),Goguitchaichvili et al. (2007),,,10.1186/BF03352754,Eastern_Alkaline_Province,91.06928217909966,81.96648126892865,-22.7,178.89999999999998,-81.96648126892865,271.0692821790997,0.3200000000000003
VE01,Cerro Tlacolula,21.04,-97.971,4,174.3,-16.3,26.0,15.6,,-76.2,286.3,,,,,7.11,6.95,,7.2700000000000005,,normal,igneous,volcanic,mafic lavas,Igneous:Extrusive,Lava,Basalt,AF-TH,1,0,R,0,,0,1,[],Goguitchaichvili et al. (2007),Goguitchaichvili et al. (2007),,,10.1186/BF03352755,Eastern_Alkaline_Province,286.2497988512245,-76.14023335981241,-16.3,174.3,-76.14023335981241,286.2497988512245,0.3200000000000003
VE06,SW of Huejuetla,21.023,-98.61,7,171.8,-38.1,78.0,7.7,,-82.3,355.9,,,,,7.33,7.2,,7.46,,normal,igneous,volcanic,mafic lavas,Igneous:Extrusive,Lava,Basalt,AF-TH,1,0,R,0,,0,1,[],Goguitchaichvili et al. (2007),Goguitchaichvili et al. (2007),,,10.1186/BF03352756,Eastern_Alkaline_Province,355.7517289830561,-82.3469419635957,-38.1,171.8,-82.3469419635957,355.7517289830561,0.2599999999999998
VE15,Cerro Cantera,19.67,-96.415,6,191.3,-42.6,48.0,11.4,,-78.4,146.0,,,,,7.48,7.3500000000000005,,7.61,,normal,igneous,volcanic,mafic lavas,Igneous:Extrusive,Lava,Basalt,AF-TH,1,0,R,0,,0,1,[],Goguitchaichvili et al. (2007),Goguitchaichvili et al. (2007),,,10.1186/BF03352757,Eastern_Alkaline_Province,145.8865520765286,-78.40033945577251,-42.6,191.3,-78.40033945577251,145.8865520765286,0.2599999999999998
VE08,S of Plan de las Hayas,19.735,-96.667,7,358.8,38.6,481.0,3.6,,87.7,234.9,,,,,14.65,14.33,,14.97,,normal,igneous,volcanic,mafic lavas,Igneous:Extrusive,Lava,Basalt,AF-TH,1,0,N,0,,0,1,[],Goguitchaichvili et al. (2007),Goguitchaichvili et al. (2007),,,10.1186/BF03352758,Eastern_Alkaline_Province,234.53960110670562,87.68563113448745,-38.6,178.8,-87.68563113448745,54.53960110670562,0.6400000000000006
1C614,Middle Fork Stanislaus River basalt,38.33,240.19,8,343.6,68.1,71.0,6.6,,72.7,203.5,,,,,0.158,0.133,,0.183,,normal,igneous,volcanic,basalt,Igneous:Extrusive,Lava,Basalt,BL-AF,1,0,N,0,,0,1,[],Mankinen (2008),Mankinen (2008),,,10.1029/2008GC001957,SW_USA_composite,203.63054799015606,72.7222147637897,-68.1,163.60000000000002,-72.7222147637897,23.63054799015606,0.04999999999999999
1C651,June Lake basalt,37.8,240.93,11,346.3,70.2,225.0,3.1,,71.0,215.7,,,,,0.3865,0.0,,0.773,,uniform,igneous,volcanic,basalt,Igneous:Extrusive,Lava,Basalt,BL-AF,1,0,N,0,,0,1,[],Mankinen (2008),GTS2020,,age range of Brunhes Chron,10.1029/2008GC001958,SW_USA_composite,215.66819559026365,71.07759725209397,-70.2,166.3,-71.07759725209397,35.66819559026365,0.773
1C671,Cada Diablo Mtn. basalt,37.68,241.5,9,305.3,47.8,50.0,7.4,,44.1,157.4,,,,,0.3865,0.0,,0.773,,uniform,igneous,volcanic,basalt,Igneous:Extrusive,Lava,Basalt,BL-AF,1,0,N,0,,0,1,[],Mankinen (2008),GTS2020,,age range of Brunhes Chron,10.1029/2008GC001959,SW_USA_composite,157.32087967645538,44.07853533969643,-47.8,125.30000000000001,-44.07853533969643,337.3208796764554,0.773
1C684,Sawmill Creek basalt,36.91,241.69,8,0.4,70.2,248.0,3.5,,72.6,242.5,,,,,0.053000000000000005,0.009000000000000001,,0.097,,normal,igneous,volcanic,basalt,Igneous:Extrusive,Lava,Basalt,BL-AF,1,0,N,0,,0,1,[],Mankinen (2008),Mankinen (2008),,,10.1029/2008GC001960,SW_USA_composite,242.47439048955192,72.6633697273808,-70.2,180.4,-72.6633697273808,62.47439048955192,0.088
1C701,N. Fork Oak Creek basalt,36.84,241.69,6,344.9,60.6,324.0,3.7,,77.4,178.5,,,,,0.3865,0.0,,0.773,,uniform,igneous,volcanic,basalt,Igneous:Extrusive,Lava,Basalt,BL-AF,1,0,N,0,,0,1,[],Mankinen (2008),GTS2020,,age range of Brunhes Chron,10.1029/2008GC001961,SW_USA_composite,178.43610929828185,77.39686733477066,-60.6,164.89999999999998,-77.39686733477066,358.43610929828185,0.773
2C551,Devils Postpile basalt,37.62,240.92,7,333.4,57.4,236.0,3.9,,69.1,160.1,,,,,0.81,0.65,0.35,0.97,0.16,uniform,igneous,volcanic,basalt,Igneous:Extrusive,Lava,Basalt,BL-AF,1,0,N,0,,0,1,[],Mankinen (2008),Mankinen (2008),,Different plagioclase separates from the same sample have yielded ages of 0.97 +/- 0.16 and 0.65 +/- 0.35 Ma,10.1029/2008GC001962,SW_USA_composite,160.2366160098375,69.05562379142297,-57.4,153.39999999999998,-69.05562379142297,340.23661600983746,0.31999999999999995
2C801*,Horseshoe Bay dacite,39.01,237.24,3,9.3,55.9,238.0,8.0,,82.2,333.7,,,,,0.35,0.32999999999999996,,0.37,,normal,igneous,volcanic,dacite,Igneous:Extrusive,Lava,Dacite,BL-AF,1,0,N,0,,0,0,[2],Mankinen (2008),Mankinen (2008),site rejected because n < 5,,10.1029/2008GC001963,SW_USA_composite,343.56848823894677,82.21472023221905,-55.9,189.3,-82.21472023221905,163.56848823894677,0.040000000000000036
2C804,Soda Bay dacite,39.01,237.2,5,0.0,56.2,118.0,7.1,,87.6,39.0,,,,,0.35,0.29,,0.41,,normal,igneous,volcanic,dacite,Igneous:Extrusive,Lava,Dacite,BL-AF,1,0,N,0,,0,1,[],Mankinen (2008),Mankinen (2008),,,10.1029/2008GC001964,SW_USA_composite,57.2,87.74572560730144,-56.2,180.0,-87.74572560730144,237.2,0.12
3V021,South Fork cone lava,36.36,241.72,6,4.2,57.6,817.0,2.4,,86.2,301.0,,,,,0.176,0.155,,0.19699999999999998,,normal,igneous,volcanic,lava,Igneous:Extrusive,Lava,Basalt,BL-AF,1,0,N,0,,0,1,[],Mankinen (2008),Mankinen (2008),,,10.1029/2008GC001965,SW_USA_composite,301.1759930120713,86.16996585442101,-57.6,184.2,-86.16996585442101,121.17599301207127,0.04199999999999998
3V028,Tunnel cone lava,36.37,241.72,9,8.8,55.4,120.0,4.7,,82.9,333.0,,,,,0.3865,0.0,,0.773,,uniform,igneous,volcanic,lava,Igneous:Extrusive,Lava,Basalt,BL-AF,1,0,N,0,,0,1,[],Mankinen (2008),GTS2020,,age range of Brunhes Chron,10.1029/2008GC001966,SW_USA_composite,332.6231520755821,82.88353665305695,-55.4,188.8,-82.88353665305695,152.62315207558208,0.773
3V038,South Fork cone lava,36.36,241.7,10,5.6,56.4,304.0,2.8,,85.5,322.4,,,,,0.3865,0.0,,0.773,,uniform,igneous,volcanic,lava,Igneous:Extrusive,Lava,Basalt,BL-AF,1,0,N,0,,0,1,[],Mankinen (2008),GTS2020,,age range of Brunhes Chron,10.1029/2008GC001967,SW_USA_composite,322.37956458582244,85.46813479468318,-56.4,185.6,-85.46813479468318,142.37956458582244,0.773
3V048,Groundhog cone basalt,36.36,241.68,11,359.6,53.4,85.0,5.0,,87.6,70.0,,,,,0.3865,0.0,,0.773,,uniform,igneous,volcanic,basalt,Igneous:Extrusive,Lava,Basalt,BL-AF,1,0,N,0,,0,1,[],Mankinen (2008),GTS2020,,age range of Brunhes Chron,10.1029/2008GC001968,SW_USA_composite,69.52501091083556,87.56834950647412,-53.4,179.60000000000002,-87.56834950647412,249.52501091083556,0.773
3V061,South Fork cone basalt,36.36,241.63,8,359.1,59.3,522.0,2.4,,86.2,230.9,,,,,0.3865,0.0,,0.773,,uniform,igneous,volcanic,basalt,Igneous:Extrusive,Lava,Basalt,BL-AF,1,0,N,0,,0,1,[],Mankinen (2008),GTS2020,,age range of Brunhes Chron,10.1029/2008GC001969,SW_USA_composite,231.20383222650634,86.19324762929114,-59.3,179.10000000000002,-86.19324762929114,51.203832226506336,0.773
